model,year,mileage_km,engine_size_l,fuel_type,transmission,body_condition,color,previous_owners,price_million_toman
Kia Cerato,2005,412500.0,2.0,petrol,manual,intact,grey,5,647.8
Quik,2007,375800.0,1.5,petrol,AUTOMATIC,intact,red,1,133.6
Pride,2024,,1.3,petrol_lpg,manual,intact,red,3,248.6
Hyundai Accent,2008,324300.0,1.6,petrol_lpg,automatic,intact,black,1,824.8
Shahin,2014,261500.0,1.5,petrol_lpg,automatic,minor_paint,white,1,461.6
Pride,2009,326000.0,1.3,petrol,manual,minor_paint,blue,5,65.4
Samand,2015,177200.0,1.8,petrol,manual,minor_paint,silver,3,258.5
Quik,2020,123500.0,1.5,petrol,manual,intact,black,3,365.0
Samand,2010,282800.0,1.8,petrol_lpg,manual,intact,white,5,176.5
Quik,2009,294900.0,1.5,petrol,automatic,intact,white,1,172.1
Hyundai Accent,2024,84300.0,1.6,petrol,manual,intact,blue,5,1967.2
Hyundai Accent,2008,,1.6,petrol,MANUAL,minor_paint,grey,3,671.0
Samand,2024,94000.0,1.8,petrol,manual,intact,grey,2,527.8
Samand,2021,119500.0,1.8,petrol,automatic,accident_repaired,blue,1,290.5
Rana,2016,210300.0,1.6,petrol,manual,minor_paint,silver,1,301.3
Pride,2014,236600.0,1.3,petrol,MANUAL,intact,silver,5,106.1
Kia Cerato,2005,406400.0,2.0,petrol_lpg,manual,intact,grey,1,720.3
Peugeot Pars,2015,218500.0,1.8,petrol,manual,minor_paint, silver ,5,298.4
Rana,2024,33500000.0,1.6,petrol,manual,accident_repaired,blue,4,380.0
Quik,2008,351100.0,1.5,petrol,automatic,,red,1,100.1
Rana,2005,398200000.0,1.6,petrol,automatic,major_paint,silver,5,123.5
Peugeot 206,2024,67600.0,1.4,petrol,manual,intact, white ,4,640.4
Peugeot Pars,2020,114300.0,1.8,petrol_lpg,manual,intact, white ,1,503.7
Tiba,2024,45700.0,1.5,petrol,manual,minor_paint,silver,2,342.0
Quik,2020,150200.0,1.5,petrol,manual,intact,grey,3,277.5
Samand,2024,50800.0,1.8,petrol,automatic,intact,blue,5,526.1
Toyota Corolla,2007,314200.0,1.8,petrol,manual,intact, silver ,5,1016.7
Shahin,2009,295300.0,1.5,petrol,manual,intact,silver,4,288.9
Dena,2019,137000.0,1.7,petrol_lpg,manual,minor_paint,blue,3,448.8
Kia Cerato,2026,0.0,2.0,petrol,manual,intact,black,1,2885.0
Quik,2009,277900.0,1.5,petrol_lpg,manual,minor_paint,silver,1,146.0
Peugeot 206,2010,307800.0,1.4,petrol,manual,intact,grey,5,174.2
Dena,2009,295800.0,1.7,petrol_lpg,manual,major_paint,blue,4,198.2
Quik,2021,77200.0,1.5,petrol,manual,minor_paint,silver,1,320.4
Samand,2018,154100.0,1.8,petrol,manual,intact,grey,2,358.7
Peugeot Pars,2021,100700.0,1.8,petrol,manual,minor_paint,black,1,552.4
Kia Cerato,2014,240300.0,2.0,petrol,MANUAL,intact,black,4,1174.8
Shahin,2025,14700.0,1.5,petrol,automatic,intact,grey,5,1029.4
Rana,2015,167400.0,1.6,petrol,manual,minor_paint,red,5,267.4
Kia Cerato,2023,99000.0,2.0,petrol_lpg,automatic,minor_paint,white,3,2220.2
Samand,2013,219100.0,1.8,petrol,manual,minor_paint, grey ,5,194.9
Peugeot Pars,2014,198600.0,1.8,petrol,manual,intact,black,5,346.0
Shahin,2019,122800.0,1.5,petrol,manual,minor_paint,black,2,683.7
Shahin,2016,193400.0,1.5,petrol,manual,minor_paint,white,3,457.1
Peugeot Pars,2012,264500.0,1.8,petrol,manual,minor_paint,white,5,257.6
Peugeot Pars,2011,303100.0,1.8,petrol_lpg,manual,minor_paint,white,5,242.1
Samand,2015,216900.0,1.8,petrol_lpg,manual,intact,white,3,271.6
Kia Cerato,2014,242700.0,2.0,petrol,manual,intact,black,3,1227.7
Samand,2022,,1.8,petrol,manual,intact,blue,5,389.6
Samand,2007,341800.0,1.8,petrol_lpg,manual,intact,black,4,143.1
Quik,2016,189500.0,1.5,petrol,manual,minor_paint, white ,2,252.9
Peugeot Pars,2021,106100.0,1.8,petrol,automatic,accident_repaired,black,4,386.8
Hyundai Accent,2024,42300.0,1.6,petrol,automatic,minor_paint,blue,5,1866.3
Samand,2005,387100.0,1.8,petrol,manual,intact,black,1,133.8
Tiba,2019,158200.0,1.5,petrol,manual,accident_repaired,grey,5,147.1
Samand,2015,207900.0,1.8,petrol,manual,minor_paint,white,5,249.8
Hyundai Accent,2006,366500.0,1.6,petrol,AUTOMATIC,intact,silver,3,894.7
Toyota Corolla,2021,91600.0,1.8,petrol,automatic,intact,black,3,2618.7
Dena,2006,386900.0,1.7,petrol,manual,intact,silver,3,252.6
Quik,2014,225600000.0,1.5,petrol,manual,minor_paint,black,1,175.0
Pride,2025,19700.0,1.3,petrol,manual,major_paint,white,3,246.2
Rana,2026,0.0,1.6,petrol,MANUAL,major_paint,white,5,571.3
Pride,2007,372500.0,1.3,petrol_lpg,manual,, grey ,2,62.3
Kia Cerato,2016,188000.0,2.0,petrol,automatic,minor_paint,silver,2,1468.1
Toyota Corolla,2011,294900.0,1.8,petrol_lpg,manual,major_paint,red,2,920.0
Samand,2025,40800.0,1.8,petrol,manual,major_paint,grey,1,475.9
Peugeot 206,2012,236100.0,1.4,petrol,automatic,intact,black,2,305.6
Dena,2012,272800.0,1.7,petrol_lpg,manual,intact,silver,1,355.6
Dena,2025,2200.0,1.7,petrol,manual,major_paint,black,3,675.7
Hyundai Accent,2023,79000.0,1.6,petrol,manual,intact,white,2,1876.1
Kia Cerato,2014,214100.0,2.0,petrol_lpg,AUTOMATIC,minor_paint,white,1,1281.4
Hyundai Accent,2024,7900.0,1.6,petrol,manual,intact,blue,3,1837.4
Kia Cerato,2017,187500.0,2.0,petrol,automatic,minor_paint,black,1,1711.5
Quik,2013,221700.0,1.5,petrol,automatic,intact,black,3,235.2
Quik,2023,73100.0,1.5,petrol_lpg,manual,major_paint,blue,5,281.4
Pride,2016,219800000.0,1.3,petrol,manual,intact,black,4,157.8
Samand,2017,137400.0,1.8,petrol,automatic,accident_repaired,blue,3,259.8
Tiba,2016,203900.0,1.5,petrol,manual,,silver,2,153.9
Kia Cerato,2018,93900.0,2.0,petrol_lpg,automatic,minor_paint,white,5,1637.0
Pride,2006,357100.0,1.3,petrol,manual,accident_repaired,blue,4,60.0
Quik,2018,154700.0,1.5,petrol,manual,accident_repaired,blue,5,179.9
Dena,2016,184300.0,1.7,petrol,manual,minor_paint,white,4,379.7
Pride,2019,129700.0,1.3,petrol,manual,major_paint,blue,2,135.6
Rana,2015,201000.0,1.6,petrol,automatic,intact,black,3,414.0
Dena,2015,,1.7,petrol,manual,intact,black,1,488.3
Toyota Corolla,2015,266400.0,1.8,petrol_lpg,manual,accident_repaired,silver,5,907.8
Kia Cerato,2024,28800.0,2.0,petrol_lpg,manual,intact,red,1,2175.3
Peugeot Pars,2005,385700.0,1.8,petrol,manual,intact,silver,5,155.1
Quik,2022,92100.0,1.5,petrol_lpg,automatic,intact,blue,1,371.7
Toyota Corolla,2011,,1.8,petrol,automatic,minor_paint,silver,2,1375.9
Shahin,2020,77900.0,1.5,petrol_lpg,manual,intact,white,4,694.4
Peugeot Pars,2012,282100.0,1.8,petrol,manual,minor_paint,silver,2,257.3
Peugeot Pars,2008,367800.0,1.8,petrol_lpg,manual,minor_paint,grey,3,186.0
Dena,2009,290400.0,1.7,petrol,manual,intact,blue,5,287.1
Hyundai Accent,2025,0.0,1.6,petrol,manual,intact,grey,3,1945.5
Quik,2008,326000.0,1.5,petrol,automatic,intact,black,3,168.3
Quik,2018,150700.0,1.5,petrol,manual,intact,blue,5,228.2
Peugeot 206,2017,174300.0,1.4,petrol,manual,intact,white,4,378.5
Hyundai Accent,2007,332500.0,1.6,petrol,manual,,red,3,651.0
Samand,2012,240900.0,1.8,petrol,automatic,minor_paint,grey,4,208.9
Dena,2021,97200.0,1.7,petrol,AUTOMATIC,major_paint,black,5,576.9
Peugeot Pars,2014,208000.0,1.8,petrol,manual,intact,silver,1,360.3
Dena,2009,325200.0,1.7,petrol,manual,major_paint,white,3,255.6
Tiba,2025,0.0,1.5,petrol,manual,accident_repaired, red ,3,270.4
Hyundai Accent,2016,211500.0,1.6,petrol,manual,intact,black,2,1185.0
Rana,2023,49300.0,1.6,petrol_lpg,automatic,, red ,5,543.0
Dena,2016,169500.0,1.7,petrol,MANUAL,intact,white,5,532.4
Tiba,2013,237500.0,1.5,petrol,manual,intact,black,1,149.4
Peugeot 206,2020,113100.0,1.4,petrol_lpg,automatic,minor_paint,blue,2,389.4
Peugeot 206,2021,92000.0,1.4,petrol,manual,major_paint,black,3,372.2
Tiba,2020,111600.0,1.5,petrol,automatic,minor_paint,blue,4,266.1
Tiba,2018,99500.0,1.5,petrol,automatic,minor_paint,black,3,246.0
Hyundai Accent,2022,80200.0,1.6,petrol_lpg,manual,major_paint,blue,1,1482.1
Tiba,2013,240800.0,1.5,petrol,automatic,intact,grey,3,159.2
Pride,2016,236500.0,1.3,petrol,manual,major_paint,silver,2,107.8
Kia Cerato,2025,15400.0,2.0,petrol,automatic,accident_repaired,black,4,1717.8
Shahin,2015,192500.0,1.5,petrol,manual,intact,blue,1,458.7
Peugeot Pars,2013,195500.0,1.8,petrol,automatic,,black,1,318.4
Peugeot 206,2023,72100.0,1.4,petrol,manual,minor_paint,grey,4,425.0
Hyundai Accent,2015,195100.0,1.6,petrol,manual,accident_repaired,silver,4,831.8
Tiba,2017,197700.0,1.5,petrol,MANUAL,intact,blue,2,195.7
Peugeot Pars,2013,260700.0,1.8,petrol,manual,intact,white,5,271.5
Kia Cerato,2025,0.0,2.0,petrol,manual,minor_paint,silver,3,2374.0
Quik,2019,150300.0,1.5,petrol,manual,,silver,2,297.5
Pride,2012,,1.3,petrol,MANUAL,minor_paint,white,2,86.3
Kia Cerato,2008,338000.0,2.0,petrol_lpg,manual,accident_repaired,white,2,599.7
Samand,2008,340400.0,1.8,petrol_lpg,manual,major_paint,silver,4,125.4
Kia Cerato,2025,7800.0,2.0,petrol_lpg,manual,accident_repaired,white,5,1727.9
Dena,2012,,1.7,petrol,automatic,intact,grey,2,385.1
Toyota Corolla,2007,,1.8,petrol,MANUAL,intact,red,2,978.6
Rana,2022,400.0,1.6,petrol,manual,major_paint,white,1,470.7
Toyota Corolla,2025,8700.0,1.8,petrol,manual,major_paint,red,3,2343.8
Tiba,2010,274900.0,1.5,petrol_lpg,manual,intact,silver,3,112.2
Shahin,2015,177600.0,1.5,petrol_lpg,automatic,major_paint,white,5,412.3
Kia Cerato,2008,345000.0,2.0,petrol,manual,,red,2,774.5
Toyota Corolla,2009,311700.0,1.8,petrol,MANUAL,accident_repaired,white,2,821.2
Rana,2019,135700.0,1.6,petrol,automatic,intact,grey,4,377.9
Rana,2015,143300.0,1.6,petrol,automatic,major_paint,white,2,316.3
Quik,2017,118500.0,1.5,petrol,manual,minor_paint,silver,4,256.7
Hyundai Accent,2007,356500.0,1.6,petrol,manual,intact,silver,4,684.5
Quik,2008,309300.0,1.5,petrol,automatic,,silver,3,100.6
Peugeot Pars,2010,,1.8,petrol,MANUAL,accident_repaired,white,3,168.9
Tiba,2007,326700.0,1.5,petrol,automatic,intact,silver,4,109.9
Quik,2007,300700000.0,1.5,petrol,manual,minor_paint,black,4,123.2
Toyota Corolla,2024,16800.0,1.8,petrol,manual,major_paint,grey,3,2210.0
Rana,2026,0.0,1.6,petrol,manual,intact,white,2,916.5
Toyota Corolla,2008,342000.0,1.8,petrol,manual,minor_paint,silver,2,1064.1
Quik,2015,189100.0,1.5,petrol,AUTOMATIC,major_paint,black,4,213.9
Rana,2009,288900.0,1.6,petrol,automatic,minor_paint,blue,1,232.1
Hyundai Accent,2015,181600.0,1.6,petrol,manual,intact,red,5,993.4
Kia Cerato,2025,0.0,2.0,petrol,MANUAL,minor_paint,grey,3,2314.3
Hyundai Accent,2014,264100.0,1.6,petrol,manual,,black,2,1141.7
Peugeot 206,2008,351200.0,1.4,petrol,AUTOMATIC,accident_repaired,blue,2,135.6
Kia Cerato,2006,420800.0,2.0,petrol,automatic,minor_paint,black,1,804.2
Kia Cerato,2014,168900.0,2.0,petrol_lpg,manual,major_paint,silver,4,989.4
Peugeot 206,2005,412200.0,1.4,petrol,manual,intact,black,3,142.2
Peugeot 206,2018,144700.0,1.4,petrol,manual,major_paint,red,5,287.7
Toyota Corolla,2007,313700.0,1.8,petrol,manual,intact,grey,2,1025.0
Peugeot 206,2016,184500.0,1.4,petrol,automatic,intact,silver,2,433.4
Quik,2017,210000.0,1.5,petrol,automatic,,black,4,263.8
Pride,2007,336700.0,1.3,petrol,manual,accident_repaired,white,2,60.0
Peugeot 206,2018,156700.0,1.4,petrol_lpg,manual,minor_paint,white,3,364.3
Kia Cerato,2022,63000.0,2.0,petrol,automatic,intact,white,5,2376.7
Shahin,2023,91900.0,1.5,petrol,automatic,intact,white,1,965.3
Tiba,2012,261400.0,1.5,petrol,manual,minor_paint,black,2,127.6
Toyota Corolla,2007,346800.0,1.8,petrol,automatic,intact, white ,3,1487.7
Kia Cerato,2022,73500.0,2.0,petrol,automatic,major_paint,white,4,2139.3
Pride,2011,,1.3,petrol_lpg,manual,intact,white,5,100.9
Dena,2025,,1.7,petrol,manual,major_paint,blue,1,639.9
Toyota Corolla,2005,370500.0,1.8,petrol,manual,intact,grey,1,883.9
Hyundai Accent,2019,119200.0,1.6,petrol,manual,,silver,5,1466.4
Dena,2017,187200.0,1.7,petrol,manual,intact,white,2,523.4
Tiba,2022,76200.0,1.5,petrol,manual,accident_repaired,black,5,185.6
Samand,2020,131300.0,1.8,petrol_lpg,manual,minor_paint,silver,2,369.2
Peugeot 206,2007,314900.0,1.4,petrol,manual,minor_paint,silver,4,162.8
Hyundai Accent,2013,238000.0,1.6,petrol,automatic,minor_paint,silver,1,1067.5
Tiba,2022,10200.0,1.5,petrol,manual,intact,silver,2,327.3
Rana,2021,112400.0,1.6,petrol,automatic,accident_repaired,white,5,346.7
Samand,2017,156500.0,1.8,petrol_lpg,manual,intact,blue,5,272.6
Peugeot 206,2020,98700.0,1.4,petrol,manual,intact,grey,1,494.2
Shahin,2017,157600.0,1.5,petrol_lpg,manual,major_paint,black,1,380.5
Shahin,2012,230500.0,1.5,petrol,manual,major_paint,silver,1,354.2
Peugeot Pars,2024,41900.0,1.8,petrol_lpg,automatic,minor_paint,blue,3,616.8
Hyundai Accent,2022,87800.0,1.6,petrol_lpg,MANUAL,intact,white,1,1804.5
Dena,2021,58800.0,1.7,petrol,automatic,minor_paint,blue,4,672.8
Peugeot Pars,2026,0.0,1.8,petrol,automatic,minor_paint,blue,3,781.6
Dena,2014,256700.0,1.7,petrol,manual,intact,grey,1,341.8
Kia Cerato,2017,209700.0,2.0,petrol,manual,intact,white,3,1435.8
Kia Cerato,2011,277000.0,2.0,petrol_lpg,MANUAL,minor_paint,white,4,1068.6
Quik,2022,96400.0,1.5,petrol,manual,minor_paint,silver,4,348.6
Kia Cerato,2010,319900.0,2.0,petrol,automatic,minor_paint,blue,5,888.6
Rana,2016,166900.0,1.6,petrol,manual,intact,grey,1,403.7
Pride,2020,90400.0,1.3,petrol_lpg,manual,intact,silver,5,178.0
Peugeot 206,2025,37800.0,1.4,petrol,manual,intact,white,1,723.8
Dena,2007,339000.0,1.7,petrol_lpg,manual,major_paint,blue,2,189.5
Tiba,2007,371800.0,1.5,petrol,manual,minor_paint,blue,2,89.4
Dena,2015,195400.0,1.7,petrol_lpg,manual,minor_paint,white,5,382.4
Samand,2011,306300.0,1.8,petrol,automatic,intact,black,4,213.7
Hyundai Accent,2025,7200.0,1.6,petrol,manual,accident_repaired,grey,2,1534.3
Shahin,2007,356700.0,1.5,petrol,manual,intact,white,3,291.6
Samand,2022,,1.8,petrol,automatic,accident_repaired,silver,3,356.3
Hyundai Accent,2010,265500.0,1.6,petrol,manual,,blue,5,830.9
Kia Cerato,2005,430700.0,2.0,petrol,manual,intact,blue,5,652.8
Rana,2010,335300.0,1.6,petrol,manual,major_paint,black,3,146.6
Toyota Corolla,2007,383900.0,1.8,petrol,manual,major_paint,red,5,686.7
Toyota Corolla,2012,275500.0,1.8,petrol,automatic,minor_paint,grey,1,1260.1
Hyundai Accent,2011,336200.0,1.6,petrol,manual,accident_repaired,silver,4,542.4
Kia Cerato,2021,106800.0,2.0,petrol,manual,intact,white,4,1962.6
Quik,2021,51600.0,1.5,petrol,manual,accident_repaired,grey,5,211.9
Samand,2006,402500.0,1.8,petrol_lpg,manual,minor_paint,blue,3,124.1
Quik,2021,,1.5,petrol_lpg,manual,intact,white,1,378.3
Dena,2014,236200.0,1.7,petrol,manual,minor_paint,grey,1,395.4
Hyundai Accent,2020,119000.0,1.6,petrol,automatic,intact, white ,4,1954.7
Shahin,2014,186200.0,1.5,petrol,automatic,minor_paint,black,5,413.6
Tiba,2005,356200.0,1.5,petrol_lpg,manual,intact,white,3,81.6
Toyota Corolla,2025,20600.0,1.8,petrol_lpg,manual,minor_paint,grey,3,2451.9
Dena,2014,219400.0,1.7,petrol,manual,accident_repaired,silver,4,259.7
Peugeot Pars,2022,79000.0,1.8,petrol,automatic,minor_paint,silver,1,565.5
Dena,2015,201700.0,1.7,petrol_lpg,manual,minor_paint,black,1,452.9
Kia Cerato,2013,227400.0,2.0,petrol,manual,minor_paint,black,1,1207.7
Kia Cerato,2008,320000.0,2.0,petrol_lpg,automatic,accident_repaired,white,1,765.5
Rana,2026,24800.0,1.6,petrol,manual,intact,silver,1,718.9
Toyota Corolla,2007,345400.0,1.8,petrol,automatic,minor_paint,black,3,953.2
Shahin,2018,171400.0,1.5,petrol_lpg,manual,intact,grey,4,461.0
Dena,2024,0.0,1.7,petrol_lpg,manual,minor_paint,white,2,784.0
Rana,2020,,1.6,petrol,automatic,minor_paint,black,4,476.7
Tiba,2018,157100.0,1.5,petrol,automatic,intact,blue,1,267.3
Pride,2005,334700.0,1.3,petrol,automatic,intact,grey,2,74.0
Peugeot 206,2016,209000.0,1.4,petrol,manual,minor_paint,grey,2,330.7
Peugeot Pars,2024,103700.0,1.8,petrol_lpg,manual,accident_repaired,grey,2,320.5
Hyundai Accent,2022,51100000.0,1.6,petrol,manual,accident_repaired, grey ,2,1085.2
Kia Cerato,2019,145600.0,2.0,petrol_lpg,automatic,accident_repaired,white,3,1316.1
Dena,2007,311100.0,1.7,petrol,manual,minor_paint,red,4,211.0
Shahin,2017,133600.0,1.5,petrol,manual,minor_paint,white,1,580.5
Quik,2022,69600.0,1.5,petrol,automatic,intact,white,2,455.7
Samand,2021,101800.0,1.8,petrol,automatic,intact,white,1,485.3
Peugeot Pars,2011,275800.0,1.8,petrol,manual,minor_paint,blue,2,250.0
Toyota Corolla,2023,54900.0,1.8,petrol,automatic,intact,silver,2,2757.0
Pride,2025,0.0,1.3,petrol_lpg,automatic,intact,white,2,320.1
Tiba,2010,301700.0,1.5,petrol,manual,intact,black,2,134.3
Pride,2020,141500.0,1.3,petrol,manual,intact,silver,1,201.9
Quik,2016,188200.0,1.5,petrol,manual,major_paint,white,5,165.6
Kia Cerato,2011,340300.0,2.0,petrol,automatic,minor_paint,silver,1,1035.1
Quik,2013,208300.0,1.5,petrol_lpg,automatic,intact,grey,5,196.2
Peugeot Pars,2013,218100.0,1.8,petrol_lpg,automatic,minor_paint,red,1,333.0
Quik,2022,80400.0,1.5,petrol,manual,,black,1,446.8
Toyota Corolla,2021,83400.0,1.8,petrol,manual,intact,white,1,2453.5
Peugeot Pars,2019,,1.8,petrol,manual,major_paint,black,4,397.6
Peugeot 206,2008,321500.0,1.4,petrol,automatic,intact,white,2,237.4
Peugeot Pars,2011,279400.0,1.8,petrol,automatic,minor_paint,black,5,264.6
Quik,2022,70300.0,1.5,petrol,automatic,minor_paint,white,1,415.5
Quik,2010,,1.5,petrol,manual,intact,white,4,148.4
Tiba,2016,215300.0,1.5,petrol,manual,intact,white,1,216.2
Shahin,2020,,1.5,petrol,manual,intact,white,3,679.4
Peugeot Pars,2013,258000.0,1.8,petrol,manual,intact,silver,5,287.9
Hyundai Accent,2016,206200.0,1.6,petrol,automatic,major_paint,red,4,1028.1
Quik,2016,122500.0,1.5,petrol,manual,minor_paint,white,2,257.6
Peugeot Pars,2025,41900.0,1.8,petrol,automatic,intact,red,5,732.2
Hyundai Accent,2019,95900.0,1.6,petrol,manual,intact,silver,2,1798.6
Shahin,2020,126700.0,1.5,petrol,MANUAL,minor_paint,black,5,573.3
Rana,2014,279200.0,1.6,petrol,manual,minor_paint,blue,4,273.0
Peugeot Pars,2019,,1.8,petrol,manual,major_paint,black,4,397.6
Rana,2009,308600.0,1.6,petrol,manual,accident_repaired,white,3,144.2
Hyundai Accent,2011,258700.0,1.6,petrol,manual,major_paint,white,3,695.4
Dena,2005,409900.0,1.7,petrol,automatic,minor_paint,red,4,219.6
Dena,2018,110000.0,1.7,petrol,manual,major_paint,white,5,457.6
Hyundai Accent,2024,3500.0,1.6,petrol,manual,minor_paint,black,4,2021.4
Pride,2024,17100.0,1.3,petrol,manual,major_paint,silver,2,208.5
Hyundai Accent,2006,397000.0,1.6,petrol,manual,intact,white,5,618.2
Pride,2012,229200.0,1.3,petrol_lpg,manual,minor_paint,blue,3,86.8
Quik,2006,383800.0,1.5,petrol_lpg,manual,accident_repaired,white,2,64.6
Hyundai Accent,2021,104600.0,1.6,petrol,manual,intact,silver,5,1789.5
Quik,2025,38400.0,1.5,petrol,manual,minor_paint,grey,4,398.6
Tiba,2019,137100.0,1.5,petrol,MANUAL,minor_paint,white,3,231.7
Kia Cerato,2010,326900.0,2.0,petrol,automatic,major_paint,red,2,799.2
Peugeot Pars,2007,356700.0,1.8,petrol,manual,intact,white,4,215.6
Tiba,2026,,1.5,petrol,automatic,intact,silver,5,457.7
Samand,2017,168800.0,1.8,petrol,manual,minor_paint,white,3,284.7
Pride,2022,106300.0,1.3,petrol,automatic,intact,white,5,222.7
Tiba,2007,339800.0,1.5,petrol,manual,intact,silver,1,106.7
Kia Cerato,2018,124800.0,2.0,petrol,manual,intact,silver,3,1967.3
Shahin,2017,136000.0,1.5,petrol,manual,intact,white,1,643.3
Dena,2023,61600.0,1.7,petrol,manual,intact,white,2,940.4
Shahin,2023,,1.5,petrol,manual,intact, black ,2,1005.2
Kia Cerato,2009,292200.0,2.0,petrol,MANUAL,minor_paint,red,4,906.1
Hyundai Accent,2008,374200.0,1.6,petrol_lpg,manual,major_paint,grey,3,549.8
Hyundai Accent,2025,17500.0,1.6,petrol,manual,accident_repaired,white,4,1498.4
Shahin,2013,,1.5,petrol_lpg,manual,accident_repaired,black,4,254.4
Shahin,2016,180200.0,1.5,petrol_lpg,manual,minor_paint, red ,5,453.9
Kia Cerato,2010,291100.0,2.0,petrol_lpg,manual,major_paint,black,5,722.3
Hyundai Accent,2013,246200.0,1.6,petrol,manual,,blue,4,848.7
Rana,2014,232500.0,1.6,petrol_lpg,manual,intact,grey,4,246.0
Samand,2025,,1.8,petrol,automatic,intact,white,2,740.0
Hyundai Accent,2011,304700.0,1.6,petrol_lpg,MANUAL,major_paint,white,4,699.2
Dena,2025,36500.0,1.7,petrol,manual,minor_paint,white,1,857.3
Toyota Corolla,2006,379300.0,1.8,petrol_lpg,manual,minor_paint,grey,5,738.3
Tiba,2019,124900.0,1.5,petrol,manual,intact,black,5,217.4
Toyota Corolla,2018,137000.0,1.8,petrol,manual,minor_paint,red,3,1674.7
Peugeot 206,2013,252600.0,1.4,petrol,manual,major_paint,silver,4,206.9
Shahin,2016,227000.0,1.5,petrol,manual,intact,white,5,507.5
Quik,2024,66500.0,1.5,petrol,manual,minor_paint,white,4,329.7
Pride,2006,371400.0,1.3,petrol,manual,minor_paint,white,3,63.4
Rana,2021,88900.0,1.6,petrol_lpg,manual,intact,silver,2,514.7
Rana,2008,353700.0,1.6,petrol,automatic,minor_paint,white,4,194.6
Quik,2010,265200.0,1.5,petrol,manual,intact,black,3,167.4
Samand,2005,359100.0,1.8,petrol_lpg,manual,major_paint,blue,3,96.2
Shahin,2014,,1.5,petrol,manual,major_paint,white,1,403.8
Rana,2005,378700.0,1.6,petrol,manual,intact,silver,1,161.4
Pride,2014,175700.0,1.3,petrol,manual,minor_paint,silver,1,115.9
Rana,2006,405200.0,1.6,petrol_lpg,manual,,black,1,184.5
Shahin,2009,298900.0,1.5,petrol,manual,intact,white,4,318.9
Samand,2025,43300.0,1.8,petrol,manual,major_paint,red,1,461.2
Hyundai Accent,2022,65600.0,1.6,petrol,manual,accident_repaired,silver,4,1217.1
Tiba,2007,368200.0,1.5,petrol,automatic,major_paint,red,1,77.7
Samand,2025,0.0,1.8,petrol_lpg,automatic,accident_repaired,silver,4,371.5
Pride,2017,181300.0,1.3,petrol,automatic,major_paint,blue,2,140.7
Peugeot 206,2025,11700.0,1.4,petrol,manual,major_paint,silver,5,527.3
Samand,2008,312700.0,1.8,petrol,manual,intact,white,4,145.0
Tiba,2022,74700.0,1.5,petrol_lpg,manual,minor_paint,grey,5,227.2
Shahin,2014,184300.0,1.5,petrol_lpg,automatic,intact,black,3,482.5
Samand,2011,280100.0,1.8,petrol,manual,intact, white ,1,231.9
Peugeot Pars,2017,147800.0,1.8,petrol,manual,intact,grey,5,371.7
Peugeot 206,2022,75600.0,1.4,petrol,manual,minor_paint,blue,3,459.9
Peugeot Pars,2009,283900.0,1.8,petrol,manual,intact,black,5,232.8
Samand,2006,360800.0,1.8,petrol,manual,accident_repaired,blue,5,84.1
Peugeot 206,2021,67900.0,1.4,petrol,manual,intact,white,1,479.5
Tiba,2019,108300.0,1.5,petrol,automatic,minor_paint,silver,1,282.3
Peugeot Pars,2019,165300.0,1.8,petrol,manual,accident_repaired, red ,4,270.8
Dena,2025,0.0,1.7,petrol,manual,intact,black,1,913.5
Tiba,2025,0.0,1.5,petrol,automatic,major_paint,black,3,308.4
Samand,2021,,1.8,petrol,manual,major_paint,silver,2,404.4
Samand,2025,34800.0,1.8,petrol,manual,intact,black,2,630.1
Shahin,2021,69600.0,1.5,petrol,manual,major_paint,blue,5,502.9
Pride,2020,121500.0,1.3,petrol,MANUAL,intact,black,3,208.7
Kia Cerato,2018,132200.0,2.0,petrol,manual,major_paint,silver,5,1376.5
Rana,2016,189700.0,1.6,petrol,automatic,major_paint,black,1,359.3
Shahin,2025,13500.0,1.5,petrol,automatic,intact,silver,2,1195.3
Hyundai Accent,2018,147500.0,1.6,petrol_lpg,manual,accident_repaired,red,4,897.8
Hyundai Accent,2018,147700.0,1.6,petrol_lpg,automatic,intact,silver,1,1555.3
Tiba,2022,61300.0,1.5,petrol,manual,major_paint,silver,3,223.5
Shahin,2013,202300.0,1.5,petrol,automatic,intact,silver,5,495.6
Samand,2015,212800000.0,1.8,petrol,AUTOMATIC,minor_paint,silver,5,293.6
Toyota Corolla,2017,217600.0,1.8,petrol,manual,accident_repaired,grey,5,1027.7
Peugeot 206,2015,212300.0,1.4,petrol,automatic,intact,black,5,297.5
Shahin,2013,189700.0,1.5,petrol,manual,intact,white,1,487.6
Tiba,2009,318200.0,1.5,petrol,manual,major_paint,grey,2,82.4
Dena,2013,270300.0,1.7,petrol,automatic,major_paint,blue,5,349.4
Pride,2019,119000000.0,1.3,petrol_lpg,manual,intact,blue,5,168.2
Samand,2022,90300.0,1.8,petrol,AUTOMATIC,intact,red,2,466.1
Samand,2026,0.0,1.8,petrol,manual,minor_paint,silver,4,564.5
Shahin,2017,166600.0,1.5,petrol,manual,intact,silver,1,564.0
Quik,2006,353500.0,1.5,petrol,manual,major_paint,silver,1,94.2
Peugeot Pars,2016,192100.0,1.8,petrol_lpg,MANUAL,minor_paint,white,2,361.8
Rana,2021,103400.0,1.6,petrol,manual,minor_paint,white,5,457.4
